metric_name,real_mean,sim_mean,real_std,sim_std,mean_difference,std_difference,wasserstein_distance,ks_statistic,ks_pvalue,mann_whitney_u,mann_whitney_p
Match Duration (minutes),107.80969995889848,112.30661666667051,33.18707880148018,32.09893720981197,4.49691670777203,-1.0881415916682116,4.909277781891305,0.07734525277435265,1.9283826311878988e-07,3352682.0,2.4319911109613905e-07
Total Games per Match,23.193588162762023,21.839,6.046939964373126,5.739490017995211,-1.354588162762024,-0.3074499463779157,1.4483645704891084,0.1390748047677764,4.060537763924729e-23,4200261.5,8.249124468629789e-22
