category_name,kl_divergence,js_divergence,chi2_statistic,chi2_pvalue,total_variation_distance
Number of Sets per Match,0.07518879627371312,0.0015709099610299098,,,0.0045507603781339626
Set Score Patterns,0.23642382552276037,0.023193902048448907,,,0.1478049851724148
